assemblyLineTypeID,assemblyLineTypeName,description,baseTimeMultiplier,baseMaterialMultiplier,baseCostMultiplier,volume,activityID,minCostPerHour
34,Caldari Outpost Copying,Caldari Outpost Copying,0.7000000000,1.0000000000,1.0000000000,1.0000000000,5,None
35,STATION 0.5+ Manufacturing,STATION 0.5+ Manufacturing,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,333.0000000000
36,Invention,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,None
37,Booster Manufacturing,Booster Manufacturing,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
38,STATION Invention,STATION Invention,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,None
39,Mobile Laboratory Invention,Mobile Laboratory Invention,0.5000000000,1.0000000000,1.0000000000,1.0000000000,8,None
40,Caldari Outpost Invention,Caldari Outpost Invention,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,None
43,Amarr Outpost Factory1 Tier1,Amarr Outpost w/ Type 1 Tier 1,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
45,Amarr Outpost Factory1(2) Tier1(1),"Amarr Outpost w/ Type 1 Tier 1, Type 2 Tier 1",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
46,Minmatar Outpost Factory1 Tier1,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
47,Amarr Outpost Factory1(2) Tier1(2),"Amarr Outpost w/ Type 1 Tier 1, Type 2 Tier 2",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
48,Amarr Outpost Factory1(2) Tier1(3),"Amarr Outpost w/ Type 1 Tier 1, Type 2 Tier 3",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
52,Minmatar Outpost Factory1 Tier2,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
54,Amarr Outpost Factory1 Tier2,Amarr Outpost w/ Type 1 Tier 2,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
56,Amarr Outpost Factory1(2) Tier2(1),"Amarr Outpost w/ Type 1 Tier 2, Type 2 Tier 1",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
57,Amarr Outpost Factory1(2) Tier2(2),"Amarr Outpost w/ Type 1 Tier 2, Type 2 Tier 2",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
58,Amarr Outpost Factory1(2) Tier2(3),"Amarr Outpost w/ Type 1 Tier 2, Type 2 Tier 3",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
59,Amarr Outpost Factory1 Tier3,Amarr Outpost w/ Type 1 Tier 3,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
60,Amarr Outpost Factory1(2) Tier3(1),"Amarr Outpost w/ Type 1 Tier 3, Type 2 Tier 1",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
61,Amarr Outpost Factory1(2) Tier3(2),"Amarr Outpost w/ Type 1 Tier 3, Type 2 Tier 2",0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
62,Minmatar Outpost Factory1 Tier3,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
63,Minmatar Oupost Research ME Tier1,,0.8000000000,1.0000000000,1.0000000000,1.0000000000,4,None
66,Amarr Outpost Factory2 Tier1,Amarr Outpost w/ Type 2 Tier 1,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
67,Amarr Outpost Factory2 Tier2,Amarr Outpost w/ Type 2 Tier 2,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
68,Amarr Outpost Factory2 Tier3,Amarr Outpost w/ Type 2 Tier 3,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
69,Amarr Outpost Research ME Tier1,Amarr Outpost Tier 1 ME,1.0000000000,1.0000000000,0.9000000000,1.0000000000,4,None
70,Caldari Outpost Factory Tier1,Caldari Outpost Tier 1 Factory,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
71,Amarr Outpost Research PE Tier1,,0.8000000000,1.0000000000,0.9000000000,1.0000000000,3,None
72,Amarr Outpost Research Copy Tier1,,1.0000000000,1.0000000000,0.9000000000,1.0000000000,5,None
73,Amarr Outpost Research ME Tier2,,1.0000000000,1.0000000000,0.8100000000,1.0000000000,4,None
74,Amarr Outpost Research PE Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,3,None
75,Amarr Outpost Research Copy Tier2,,1.0000000000,1.0000000000,0.8100000000,1.0000000000,5,None
76,Amarr Outpost Research ME Tier3,,1.0000000000,1.0000000000,0.7290000000,1.0000000000,4,None
77,Amarr Outpost Research PE Tier3,,0.4000000000,1.0000000000,0.7290000000,1.0000000000,3,None
78,Amarr Outpost Research Copy Tier3,,1.0000000000,1.0000000000,0.7290000000,1.0000000000,5,None
79,Caldari Outpost Factory Tier2,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
80,Caldari Outpost Factory Tier3,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
81,Caldari Outpost Research1 ME Tier1,,0.7000000000,1.0000000000,0.9000000000,1.0000000000,4,None
82,Caldari Outpost Research1 PE Tier1,,0.7000000000,1.0000000000,0.9000000000,1.0000000000,3,None
83,Caldari Outpost Research1 Copy Tier1,,0.7000000000,1.0000000000,0.9000000000,1.0000000000,5,None
84,Caldari Outpost Research1 ME Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,4,None
85,Caldari Outpost Research1 PE Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,3,None
86,Caldari Outpost Research1 Copy Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,5,None
87,Caldari Outpost Research1 ME Tier3,,0.5000000000,1.0000000000,0.7290000000,1.0000000000,4,None
88,Caldari Outpost Research1 PE Tier3,,0.5000000000,1.0000000000,0.7290000000,1.0000000000,3,None
89,Caldari Outpost Research1 Copy Tier3,,0.5000000000,1.0000000000,0.7290000000,1.0000000000,5,None
90,Caldari Outpost Research2 Tier1,,0.8000000000,1.0000000000,0.9000000000,1.0000000000,8,None
91,Caldari Outpost Research2 Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,8,None
92,Caldari Outpost Research2 Tier3,,0.4000000000,1.0000000000,0.7290000000,1.0000000000,8,None
93,Gallente Outpost Factory1 Tier1,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
94,Gallente Outpost Factory1(2) Tier1(1),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
95,Gallente Outpost Factory1(2) Tier1(2),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
96,Gallente Outpost Factory1(2) Tier1(3),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
98,Gallente Outpost Factory1(2) Tier2(1),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
99,Gallente Outpost Factory1(2) Tier2(2),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
100,Gallente Outpost Factory1(2) Tier2(3),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
102,Gallente Outpost Factory1(2) Tier3(1),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
103,Gallente Outpost Factory1(2) Tier3(2),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
104,Gallente Outpost Factory2 Tier1,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
105,Gallente Outpost Factory2 Tier2,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
106,Gallente Outpost Factory2 Tier3,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
107,Gallente Outpost Research ME Tier1,,1.0000000000,1.0000000000,0.9000000000,1.0000000000,4,None
108,Gallente Outpost Research PE Tier1,,1.0000000000,1.0000000000,0.9000000000,1.0000000000,3,None
109,Gallente Outpost Research Copy Tier1,,0.8000000000,1.0000000000,0.9000000000,1.0000000000,5,None
110,Gallente Outpost Research ME Tier2,,1.0000000000,1.0000000000,0.8100000000,1.0000000000,4,None
111,Gallente Outpost Research PE Tier2,,1.0000000000,1.0000000000,0.8100000000,1.0000000000,3,None
112,Gallente Outpost Research Copy Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,5,None
113,Gallente Outpost Research ME Tier3,,1.0000000000,1.0000000000,0.7290000000,1.0000000000,4,None
114,Gallente Outpost Research PE Tier3,,1.0000000000,1.0000000000,0.7290000000,1.0000000000,3,None
115,Gallente Outpost Research Copy Tier3,,0.4000000000,1.0000000000,0.7290000000,1.0000000000,5,None
116,Minmatar Outpost Factory1(2) Tier1(1),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
117,Minmatar Outpost Factory1(2) Tier1(2),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
118,Minmatar Outpost Factory1(2) Tier1(3),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
119,Minmatar Outpost Factory1(2) Tier2(1),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
120,Minmatar Outpost Factory1(2) Tier2(2),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
121,Minmatar Outpost Factory1(2) Tier2(3),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
122,Minmatar Outpost Factory1(2) Tier3(1),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
123,Minmatar Outpost Factory1(2) Tier3(2),,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
124,Minmatar Outpost Factory2 Tier1,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
125,Minmatar Outpost Factory2 Tier2,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
126,Minmatar Outpost Factory2 Tier3,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
127,Minmatar Outpost Research PE Tier1,,1.0000000000,1.0000000000,0.9000000000,1.0000000000,3,None
128,Minmatar Outpost Research Copy Tier1,,1.0000000000,1.0000000000,0.9000000000,1.0000000000,5,None
129,Minmatar Outpost Research ME Tier2,,0.6000000000,1.0000000000,0.8100000000,1.0000000000,4,None
130,Minmatar Outpost Research PE Tier2,,1.0000000000,1.0000000000,0.8100000000,1.0000000000,3,None
131,Minmatar Outpost Research Copy Tier2,,1.0000000000,1.0000000000,0.8100000000,1.0000000000,5,None
132,Minmatar Outpost Research ME Tier3,,0.4000000000,1.0000000000,0.7290000000,1.0000000000,4,None
133,Minmatar Outpost Research PE Tier3,,1.0000000000,1.0000000000,0.7290000000,1.0000000000,3,None
134,Minmatar Outpost Research Copy Tier3,,1.0000000000,1.0000000000,0.7290000000,1.0000000000,5,None
136,Gallente Outpost Factory1 Tier3,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
137,Gallente Outpost Factory1 Tier2,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
138,Minmatar Outpost Research ME Tier1,,0.8000000000,1.0000000000,0.9000000000,1.0000000000,4,None
145,Ore Capital Ship,ore cap ship asteroid line,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
146,Efficient Mobile Lab Copy,efficient mobile lab copy,0.6000000000,1.0000000000,1.0000000000,1.0000000000,5,None
147,Efficient Mobile Lab ME,efficient mobile lab ME,0.7500000000,1.0000000000,1.0000000000,1.0000000000,4,None
148,Efficient Mobile Lab PE,efficient mobile lab TE,0.7500000000,1.0000000000,1.0000000000,1.0000000000,3,None
149,Efficient Mobile Lab invention,efficient mobile lab invention,0.5000000000,1.0000000000,1.0000000000,1.0000000000,8,None
150,Ore Cap Ship Manufacturing,ore cap ship manufacture lines,0.8000000000,1.0000000000,1.0000000000,1.0000000000,1,None
155,Large Ship Assembly Array,"Large ship assembly array for manufacture of battleships, freighters ",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
158,Experimental Laboratory,aka Ancient Relic Invention,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,None
159,Advanced Subsystem Assembly Array,Advanced Subsystem Assembly Array,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
161,Subsystem Manufacturing,Subsystem Manufacturing,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
168,Hyasyoda Mobile Lab ME,Research Material Efficiency line for Hyasyoda Mobile Laboratory,0.6500000000,1.0000000000,1.0000000000,1.0000000000,4,None
169,Hyasyoda Mobile Lab TE,Research Time Efficiency line for Hyasyoda Mobile Laboratories.,0.6500000000,1.0000000000,1.0000000000,1.0000000000,3,None
170,Hyasyoda Mobile Lab Invention,Invention line for Hyasyoda Mobile Laboratories.,0.4500000000,1.0000000000,1.0000000000,1.0000000000,8,None
171,Thukker Component Assembly Array,"This assembly array is implemented in or around Kronos, in order to buffer lowsec capital producers from the impact of the refining changes. Gives an increased ME bonus, can only be anchored in lowsec.",0.7500000000,0.8500000000,1.0000000000,1.0000000000,1,None
172,Thera Manufacturing,Thera Manufacturing (WH station),1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
175,Structure Basic Manufacturing,Used by Standup Manufacturing Plant I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
176,Structure Capital Shipyard,Used by Standup Capital Shipyard I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
177,Structure Supercapital Shipyard,Used by Standup Supercapital Shipyard I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
178,Structure TE Research,Used by Standup Research Lab I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,3,None
179,Structure ME Research,Used by Standup Research Lab I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,4,None
180,Structure Blueprint Copying,Used by Standup Research Lab I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,5,None
181,Structure Invention,Used by Standup Invention Lab I,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,None
182,Standup Composite Reactor,The new composite reactor module for Upwell Refineries. Operates both simple and advanced reactions for T2 production.,1.0000000000,1.0000000000,1.0000000000,1.0000000000,11,None
183,Standup Polymer Reactor,The new hybrid reactor module for Upwell Refineries. Operates Hybrid reactions for T3 production.,1.0000000000,1.0000000000,1.0000000000,1.0000000000,11,None
184,Standup Biochemical Reactor,The new biochemical reactor module for Upwell Refineries. Operates both simple and complex biochemical reactions for booster production.,1.0000000000,1.0000000000,1.0000000000,1.0000000000,11,None
